nom,age,date,paye,montant,loisir,competences,timestampField,decimalField
John,22,28-08-2006,no,1286,"['Football', 'Parachutisme']",Cooking,04-10-2014_13:55:18,354.65
Emilia,24,25-02-2008,no,261,"['Jeux', 'Randonnée']",Communication,02-11-2014_21:22:22,242.39
Emilia,38,12-04-2004,no,3478,"['Randonnée', 'Parachutisme']",Leadership,05-05-2020_14:31:04,547.02
John,65,16-12-2005,no,2093,"['Jeux', 'Football']",Leadership,17-11-2015_02:23:11,134.19
John,45,21-09-2009,no,1999,"['Randonnée', 'Parachutisme']",Communication,23-03-2022_18:02:18,441.4
Karmen,76,24-05-2005,yes,1269,"['Jeux', 'Parachutisme']",Communication,09-08-2019_02:00:07,253.06
Karmen,86,17-05-2005,no,4689,"['Parachutisme', 'Randonnée']",Communication,03-08-2020_14:59:19,87.79
Karmen,44,17-08-2008,no,4867,"['Randonnée', 'Football']",Leadership,11-11-2013_10:48:45,782.87
David,23,11-03-2014,no,5819,"['Jeux', 'Parachutisme']",Leadership,12-09-2015_20:52:52,750.42
David,40,17-08-2009,yes,4817,"['Football', 'Jeux']",Cooking,22-04-2021_02:16:55,936.97
Mehdi,61,12-09-2015,yes,9591,"['Parachutisme', 'Randonnée']",Cooking,26-05-2017_21:39:15,108.68
Mehdi,87,24-02-2004,no,6421,"['Randonnée', 'Parachutisme']",Cooking,27-03-2022_03:01:47,665.94
Mehdi,33,28-01-2019,yes,4257,"['Randonnée', 'Jeux']",Communication,29-07-2017_21:51:04,961.03
David,83,07-04-2004,yes,2400,"['Jeux', 'Parachutisme']",Cooking,24-03-2016_23:34:00,498.35
David,76,11-03-2002,yes,7733,"['Randonnée', 'Football']",Communication,14-02-2021_20:55:23,578.99
John,46,15-10-2007,no,3570,"['Football', 'Jeux']",Communication,09-03-2021_17:40:54,837.54
John,43,18-09-2003,no,7519,"['Parachutisme', 'Jeux']",Communication,04-12-2013_19:47:43,657.05
Karmen,97,24-04-2002,no,7529,"['Football', 'Jeux']",Communication,19-06-2022_03:09:57,43.75
John,27,28-01-2008,no,7114,"['Randonnée', 'Football']",Cooking,03-06-2015_10:29:57,26.8
John,48,07-03-2013,no,2486,"['Jeux', 'Football']",Cooking,12-12-2014_10:11:11,242.17
Emilia,89,30-09-2007,yes,8763,"['Parachutisme', 'Football']",Leadership,09-02-2014_17:59:50,373.09
Emilia,58,29-08-2017,yes,4402,"['Randonnée', 'Jeux']",Cooking,14-09-2019_12:24:17,66.46
Emilia,29,01-02-2018,yes,7453,"['Parachutisme', 'Randonnée']",Communication,26-07-2015_18:37:39,671.91
Emilia,20,21-10-2013,no,703,"['Football', 'Parachutisme']",Cooking,21-07-2017_07:23:06,70.7
Mehdi,51,04-06-2015,no,1147,"['Football', 'Jeux']",Cooking,02-07-2019_14:48:38,22.53
Mehdi,94,24-06-2011,yes,3846,"['Football', 'Parachutisme']",Cooking,31-10-2021_20:38:08,779.65
John,72,27-06-2012,no,9045,"['Parachutisme', 'Jeux']",Communication,27-04-2019_00:44:15,604.62
Karmen,57,29-08-2020,no,7400,"['Football', 'Jeux']",Leadership,17-03-2017_06:03:29,341.56
Emilia,85,13-09-2010,yes,6191,"['Football', 'Randonnée']",Communication,24-10-2013_04:56:47,146.25
Mehdi,80,19-11-2008,yes,2256,"['Parachutisme', 'Randonnée']",Communication,27-03-2022_21:55:10,306.65
Mehdi,43,29-08-2016,yes,177,"['Football', 'Jeux']",Leadership,08-01-2022_08:28:08,55.35
David,22,22-05-2009,no,8311,"['Jeux', 'Football']",Communication,17-06-2014_01:38:21,699.78
Emilia,69,10-02-2002,no,3877,"['Football', 'Jeux']",Cooking,19-11-2016_06:10:13,77.07
David,70,25-12-2016,yes,4144,"['Parachutisme', 'Football']",Communication,30-09-2016_13:02:42,653.56
David,82,09-07-2017,yes,1130,"['Jeux', 'Football']",Cooking,09-02-2013_02:27:48,14.59
Emilia,41,13-07-2003,no,3884,"['Jeux', 'Randonnée']",Leadership,31-12-2016_10:44:26,228.26
David,93,25-04-2004,no,5760,"['Randonnée', 'Parachutisme']",Leadership,06-11-2020_06:47:08,815.68
Karmen,29,21-08-2010,no,5603,"['Football', 'Randonnée']",Cooking,04-11-2016_23:47:46,87.6
Mehdi,46,13-06-2006,yes,7612,"['Randonnée', 'Jeux']",Leadership,02-03-2015_06:48:15,74.05
David,64,18-06-2015,yes,7390,"['Jeux', 'Parachutisme']",Leadership,03-05-2019_12:19:58,313.77
John,77,16-08-2007,no,3320,"['Parachutisme', 'Randonnée']",Leadership,20-04-2013_14:02:55,179.29
David,58,16-10-2011,no,2944,"['Jeux', 'Football']",Communication,24-01-2017_22:56:25,981.11
Mehdi,61,14-12-2002,no,8321,"['Jeux', 'Parachutisme']",Cooking,28-05-2016_16:51:00,615.5
David,51,14-05-2009,yes,9625,"['Jeux', 'Parachutisme']",Cooking,10-03-2017_21:54:44,910.99
David,53,09-03-2004,no,3571,"['Jeux', 'Football']",Communication,18-09-2018_16:26:33,509.4
Mehdi,45,06-09-2010,yes,3899,"['Randonnée', 'Jeux']",Cooking,18-09-2015_15:09:14,623.1
Emilia,92,06-03-2017,yes,2718,"['Parachutisme', 'Jeux']",Communication,02-02-2015_13:56:20,296.67
John,56,01-06-2006,yes,5858,"['Parachutisme', 'Randonnée']",Communication,27-11-2018_07:14:06,187.64
David,92,04-11-2009,yes,6553,"['Randonnée', 'Football']",Leadership,27-07-2013_21:09:24,812.91
Mehdi,55,23-03-2019,no,8122,"['Parachutisme', 'Randonnée']",Cooking,22-06-2020_15:38:19,995.86
Mehdi,84,01-04-2014,no,6616,"['Jeux', 'Parachutisme']",Leadership,08-03-2019_21:35:53,580.86
Emilia,84,22-11-2006,no,7960,"['Football', 'Parachutisme']",Communication,11-06-2020_05:16:48,495.42
Karmen,39,23-07-2020,yes,9804,"['Football', 'Randonnée']",Communication,01-09-2015_09:06:27,841.93
Emilia,36,25-12-2011,yes,1404,"['Parachutisme', 'Randonnée']",Cooking,29-11-2020_17:18:00,413.28
Mehdi,19,31-07-2008,no,3988,"['Jeux', 'Football']",Communication,22-05-2018_03:25:33,194.53
John,85,14-07-2017,yes,5203,"['Football', 'Jeux']",Cooking,19-11-2020_01:06:22,553.44
John,81,10-01-2018,yes,6825,"['Randonnée', 'Football']",Leadership,01-11-2015_18:09:15,514.93
David,57,04-02-2010,no,6505,"['Jeux', 'Randonnée']",Communication,19-08-2015_05:06:23,827.13
Emilia,43,11-11-2008,no,1122,"['Parachutisme', 'Randonnée']",Cooking,25-11-2019_16:01:55,891.11
Mehdi,83,31-12-2017,no,9452,"['Jeux', 'Parachutisme']",Cooking,30-06-2014_17:01:00,533.98
Emilia,70,02-03-2014,no,4012,"['Jeux', 'Football']",Communication,24-02-2022_03:11:19,714.17
Karmen,41,10-09-2007,no,2396,"['Football', 'Parachutisme']",Communication,26-08-2015_23:08:59,448.97
Karmen,97,17-11-2016,no,2121,"['Jeux', 'Football']",Communication,08-05-2014_16:58:26,192.39
Karmen,60,26-11-2010,no,5941,"['Jeux', 'Randonnée']",Leadership,15-09-2017_04:10:50,209.3
David,50,29-01-2004,yes,3058,"['Randonnée', 'Jeux']",Communication,16-10-2020_23:39:44,771.2
Karmen,35,20-07-2006,yes,736,"['Parachutisme', 'Football']",Leadership,02-03-2015_15:25:48,353.22
John,84,21-04-2005,yes,1632,"['Parachutisme', 'Randonnée']",Communication,17-03-2018_13:33:39,628.87
Karmen,70,28-12-2010,yes,3183,"['Jeux', 'Parachutisme']",Communication,21-09-2014_21:52:19,132.06
John,46,28-12-2003,no,7083,"['Parachutisme', 'Football']",Leadership,22-10-2016_05:56:14,186.56
Karmen,30,28-08-2012,yes,5357,"['Football', 'Randonnée']",Cooking,13-10-2019_04:04:56,895.04
John,24,01-07-2010,yes,2639,"['Parachutisme', 'Jeux']",Leadership,18-07-2019_17:22:20,865.29
David,42,01-05-2015,no,3759,"['Parachutisme', 'Football']",Cooking,14-10-2013_06:26:02,407.51
John,91,01-09-2014,no,8951,"['Jeux', 'Parachutisme']",Cooking,07-11-2013_01:49:02,582.28
Karmen,54,10-04-2012,yes,7371,"['Parachutisme', 'Randonnée']",Leadership,23-12-2015_07:29:09,564.62
John,47,25-07-2002,yes,6004,"['Parachutisme', 'Randonnée']",Leadership,17-10-2014_20:49:39,312.55
Mehdi,95,01-10-2006,yes,9046,"['Jeux', 'Football']",Cooking,14-09-2015_06:26:00,411.36
John,68,03-02-2003,yes,6217,"['Jeux', 'Randonnée']",Communication,15-01-2020_09:26:22,957.14
Mehdi,52,10-08-2016,yes,396,"['Randonnée', 'Parachutisme']",Communication,27-09-2016_21:26:29,338.11
Emilia,97,08-01-2004,no,8423,"['Randonnée', 'Parachutisme']",Leadership,23-12-2013_14:29:50,595.65
Mehdi,73,27-01-2002,no,2431,"['Randonnée', 'Jeux']",Leadership,29-12-2017_07:55:44,993.84
David,36,29-05-2008,no,4383,"['Jeux', 'Parachutisme']",Cooking,07-12-2013_03:24:02,926.55
John,50,13-01-2010,no,3109,"['Football', 'Jeux']",Communication,25-07-2015_22:47:39,228.32
Mehdi,80,27-07-2014,yes,4841,"['Jeux', 'Football']",Cooking,31-03-2017_15:06:19,190.62
David,80,02-06-2002,no,3185,"['Football', 'Parachutisme']",Communication,23-07-2018_11:41:00,871.78
Mehdi,75,29-01-2017,yes,7942,"['Football', 'Randonnée']",Communication,04-02-2022_14:49:38,40.13
John,42,05-05-2016,yes,202,"['Randonnée', 'Jeux']",Communication,14-09-2013_11:42:05,578.69
Emilia,52,23-07-2007,no,6046,"['Parachutisme', 'Football']",Cooking,21-11-2015_09:46:48,359.4
Emilia,48,11-05-2002,yes,6825,"['Football', 'Randonnée']",Cooking,04-01-2019_22:46:25,946.13
David,47,07-10-2018,no,232,"['Randonnée', 'Jeux']",Cooking,15-10-2014_02:23:44,384.19
John,25,13-10-2006,yes,4491,"['Parachutisme', 'Jeux']",Communication,26-02-2020_03:29:43,586.21
Mehdi,56,22-05-2018,yes,1838,"['Football', 'Jeux']",Leadership,11-10-2015_03:43:26,432.69
Emilia,20,27-05-2018,no,9456,"['Parachutisme', 'Randonnée']",Leadership,29-05-2015_03:40:19,119.08
Mehdi,19,22-06-2014,yes,1420,"['Jeux', 'Football']",Leadership,05-05-2021_09:50:36,176.88
John,98,16-01-2015,yes,3005,"['Jeux', 'Randonnée']",Cooking,09-08-2013_23:46:03,786.1
Karmen,54,28-05-2002,yes,1366,"['Football', 'Randonnée']",Leadership,23-08-2013_21:43:50,707.67
Emilia,44,18-06-2014,no,6769,"['Jeux', 'Randonnée']",Leadership,13-04-2020_06:27:22,222.07
John,46,28-11-2007,no,484,"['Jeux', 'Parachutisme']",Communication,11-04-2016_21:05:39,831.63
John,77,13-07-2018,no,6811,"['Jeux', 'Randonnée']",Cooking,27-02-2020_07:02:50,352.67
John,41,01-08-2020,no,9177,"['Jeux', 'Randonnée']",Cooking,20-08-2014_20:48:05,776.88
Mehdi,99,12-07-2012,yes,4005,"['Football', 'Randonnée']",Cooking,15-09-2013_16:16:40,744.17
Mehdi,90,29-06-2011,no,898,"['Football', 'Jeux']",Cooking,05-05-2020_07:29:07,690.48
Mehdi,55,27-05-2010,yes,1917,"['Randonnée', 'Jeux']",Communication,04-09-2014_23:13:21,234.76
Karmen,93,07-09-2006,no,3653,"['Randonnée', 'Parachutisme']",Cooking,29-04-2013_06:00:50,680.53
Emilia,66,16-03-2015,yes,9783,"['Randonnée', 'Football']",Cooking,16-04-2014_21:31:29,972.42
Karmen,39,25-01-2007,no,3286,"['Randonnée', 'Football']",Leadership,05-12-2014_20:01:45,488.01
Emilia,34,03-03-2012,no,2429,"['Randonnée', 'Jeux']",Leadership,01-03-2022_06:25:11,78.68
John,76,13-07-2002,no,5949,"['Football', 'Randonnée']",Communication,08-11-2013_08:54:38,720.62
David,96,04-11-2003,yes,1952,"['Jeux', 'Football']",Cooking,20-04-2022_03:00:45,188.99
Karmen,64,16-03-2002,no,3937,"['Jeux', 'Parachutisme']",Cooking,24-10-2016_10:07:00,704.86
Karmen,96,25-11-2005,no,7985,"['Parachutisme', 'Football']",Leadership,10-11-2019_18:27:56,96.39
John,43,18-12-2006,yes,4148,"['Jeux', 'Football']",Leadership,14-11-2015_09:32:48,620.66
Karmen,82,22-01-2015,yes,9679,"['Jeux', 'Parachutisme']",Leadership,25-11-2016_07:03:23,157.37
Karmen,32,19-04-2006,yes,9529,"['Randonnée', 'Parachutisme']",Leadership,23-01-2022_02:47:50,986.54
Karmen,41,08-08-2010,yes,3189,"['Parachutisme', 'Football']",Communication,02-04-2020_15:50:48,505.09
Emilia,36,22-06-2010,yes,4993,"['Parachutisme', 'Football']",Communication,10-12-2018_00:46:57,268.63
David,69,10-02-2004,yes,132,"['Randonnée', 'Parachutisme']",Leadership,03-01-2016_20:56:12,456.75
David,80,21-01-2015,yes,1887,"['Randonnée', 'Football']",Cooking,19-05-2014_17:30:42,411.38
David,61,26-09-2019,yes,1662,"['Parachutisme', 'Football']",Leadership,19-01-2016_16:56:35,277.37
Emilia,75,20-07-2004,yes,9131,"['Parachutisme', 'Football']",Communication,02-02-2017_17:20:40,501.67
Emilia,88,27-07-2017,no,1142,"['Parachutisme', 'Randonnée']",Leadership,28-10-2016_21:19:32,695.09
Mehdi,83,26-06-2012,yes,7084,"['Football', 'Parachutisme']",Communication,23-05-2021_10:25:03,292.42
Emilia,55,26-07-2017,no,1123,"['Jeux', 'Football']",Cooking,05-12-2013_00:17:42,400.21
David,70,11-03-2012,no,9053,"['Jeux', 'Randonnée']",Communication,25-01-2021_03:07:20,202.89
Karmen,42,01-07-2002,yes,3531,"['Jeux', 'Parachutisme']",Cooking,17-08-2014_13:24:44,588.54
David,47,30-01-2006,no,2232,"['Parachutisme', 'Randonnée']",Cooking,05-03-2020_04:31:58,810.04
Karmen,93,11-04-2018,yes,689,"['Football', 'Parachutisme']",Cooking,07-10-2019_11:37:21,13.35
David,100,14-06-2005,no,685,"['Randonnée', 'Parachutisme']",Communication,16-12-2017_12:34:57,300.53
John,76,14-04-2019,yes,3333,"['Football', 'Parachutisme']",Communication,01-09-2015_17:28:38,715.12
Mehdi,91,11-04-2005,yes,2099,"['Football', 'Jeux']",Leadership,01-12-2017_08:57:35,398.02
Emilia,46,01-06-2008,yes,3506,"['Jeux', 'Football']",Leadership,28-10-2018_09:20:09,548.7
Karmen,31,03-01-2017,yes,6585,"['Jeux', 'Football']",Cooking,07-07-2014_09:32:46,616.73
Mehdi,23,13-02-2014,yes,6677,"['Football', 'Parachutisme']",Cooking,15-08-2019_13:03:43,331.06
David,41,19-05-2016,no,5395,"['Football', 'Jeux']",Communication,10-09-2020_02:45:41,975.33
Karmen,95,10-12-2015,yes,9355,"['Randonnée', 'Jeux']",Cooking,09-07-2014_12:38:11,247.36
Emilia,98,30-09-2015,yes,1444,"['Parachutisme', 'Jeux']",Leadership,22-08-2021_18:53:58,315.63
Karmen,88,02-04-2017,no,5139,"['Football', 'Randonnée']",Cooking,17-06-2018_09:54:47,522.68
Emilia,65,17-03-2004,yes,9081,"['Football', 'Randonnée']",Communication,05-09-2014_03:18:06,234.68
David,71,13-10-2010,no,7177,"['Parachutisme', 'Jeux']",Leadership,27-06-2021_06:15:51,973.94
David,30,07-07-2018,yes,973,"['Jeux', 'Football']",Communication,08-03-2018_00:20:25,467.83
David,45,02-07-2010,no,3017,"['Parachutisme', 'Jeux']",Leadership,07-11-2019_10:28:23,849.88
John,18,29-04-2019,yes,8355,"['Jeux', 'Parachutisme']",Cooking,23-04-2022_20:22:07,765.12
Emilia,90,15-11-2013,no,194,"['Parachutisme', 'Jeux']",Communication,21-02-2017_03:04:21,76.87
John,87,26-06-2003,no,8840,"['Jeux', 'Randonnée']",Cooking,04-02-2016_02:33:11,742.65
Emilia,85,19-03-2010,yes,9883,"['Randonnée', 'Parachutisme']",Leadership,13-05-2018_07:37:19,125.63
John,60,09-06-2002,no,9612,"['Randonnée', 'Parachutisme']",Leadership,06-10-2020_21:31:37,403.93
Mehdi,81,17-10-2008,yes,671,"['Jeux', 'Randonnée']",Cooking,08-06-2020_03:44:07,171.77
Emilia,67,04-05-2009,yes,9522,"['Football', 'Randonnée']",Communication,27-07-2019_11:53:38,296.16
Emilia,77,11-04-2016,yes,6095,"['Parachutisme', 'Randonnée']",Leadership,05-04-2018_22:18:20,331.71
John,43,23-09-2013,yes,8929,"['Randonnée', 'Jeux']",Communication,18-06-2020_05:55:41,169.07
David,46,27-03-2012,no,7138,"['Football', 'Parachutisme']",Communication,21-12-2020_08:12:48,508.24
Emilia,59,23-09-2014,yes,4873,"['Jeux', 'Football']",Cooking,14-09-2015_11:39:13,923.19
Karmen,34,18-03-2010,yes,3179,"['Parachutisme', 'Football']",Communication,06-12-2015_21:13:15,756.94
David,46,10-02-2015,yes,3008,"['Football', 'Jeux']",Leadership,10-01-2020_10:41:37,915.05
Mehdi,44,09-03-2010,yes,257,"['Randonnée', 'Jeux']",Leadership,07-06-2015_18:49:29,703.19
John,95,22-04-2002,no,2909,"['Randonnée', 'Football']",Leadership,01-11-2018_05:02:12,821.56
David,82,23-07-2003,no,9590,"['Football', 'Parachutisme']",Communication,18-01-2014_08:15:18,689.88
Emilia,89,20-04-2011,no,4053,"['Football', 'Randonnée']",Leadership,12-02-2022_08:52:06,282.92
Mehdi,84,15-04-2018,yes,322,"['Football', 'Randonnée']",Cooking,17-11-2018_00:41:44,560.76
Karmen,56,05-12-2005,no,7130,"['Football', 'Randonnée']",Cooking,31-07-2016_09:59:30,895.77
Mehdi,32,23-12-2013,yes,8898,"['Jeux', 'Football']",Cooking,21-11-2017_14:39:14,25.64
Karmen,98,17-07-2007,yes,2444,"['Randonnée', 'Football']",Leadership,11-02-2016_08:02:44,274.52
David,62,24-05-2020,no,8294,"['Parachutisme', 'Randonnée']",Communication,20-09-2013_17:26:38,300.75
David,61,01-05-2016,no,6884,"['Jeux', 'Football']",Communication,22-05-2015_11:01:00,855.08
John,61,10-10-2011,no,75,"['Jeux', 'Football']",Communication,27-03-2014_03:35:05,635.34
David,83,20-12-2020,no,4520,"['Jeux', 'Randonnée']",Leadership,11-08-2014_19:54:12,750.31
Emilia,83,25-02-2019,yes,4238,"['Jeux', 'Randonnée']",Leadership,31-10-2014_04:48:44,731.56
Karmen,81,21-06-2013,no,490,"['Football', 'Jeux']",Leadership,05-12-2015_23:07:19,301.53
Mehdi,90,12-07-2011,yes,2941,"['Football', 'Jeux']",Leadership,20-11-2016_06:40:06,290.14
David,99,07-02-2008,yes,318,"['Football', 'Jeux']",Leadership,10-04-2013_00:38:39,693.96
Karmen,76,01-05-2007,yes,3505,"['Randonnée', 'Football']",Leadership,04-05-2016_04:47:29,497.67
David,54,28-08-2012,yes,8133,"['Jeux', 'Football']",Leadership,13-08-2021_13:11:20,104.43
David,59,09-01-2019,yes,6030,"['Parachutisme', 'Randonnée']",Cooking,09-03-2021_03:47:13,243.87
Mehdi,40,18-04-2015,no,7639,"['Jeux', 'Football']",Cooking,19-09-2018_22:23:07,773.23
Karmen,77,23-10-2018,no,2204,"['Football', 'Parachutisme']",Leadership,22-08-2019_04:47:48,302.64
Mehdi,87,24-09-2002,no,5142,"['Parachutisme', 'Randonnée']",Communication,21-04-2020_10:54:59,733.96
Karmen,79,24-12-2004,yes,6304,"['Randonnée', 'Jeux']",Leadership,04-10-2018_12:17:52,586.95
Mehdi,37,13-09-2010,yes,9109,"['Randonnée', 'Parachutisme']",Leadership,11-04-2017_00:24:44,781.21
Karmen,50,21-08-2010,no,8323,"['Parachutisme', 'Randonnée']",Leadership,12-05-2018_02:15:38,875.57
Emilia,100,08-06-2017,yes,5459,"['Football', 'Parachutisme']",Leadership,14-12-2017_19:34:53,417.21
John,19,08-06-2004,no,8176,"['Jeux', 'Parachutisme']",Communication,04-09-2017_09:51:32,779.39
David,58,18-08-2007,yes,4260,"['Jeux', 'Randonnée']",Leadership,17-04-2015_17:56:03,63.65
Emilia,88,27-08-2012,no,618,"['Parachutisme', 'Football']",Leadership,07-10-2016_17:52:01,83.45
Karmen,78,04-06-2003,no,2215,"['Randonnée', 'Parachutisme']",Cooking,29-05-2017_11:31:25,583.04
Emilia,67,21-04-2012,yes,7144,"['Randonnée', 'Jeux']",Cooking,13-11-2013_15:41:47,481.47
David,65,26-04-2012,no,9055,"['Football', 'Jeux']",Leadership,08-10-2017_07:49:17,243.2
Emilia,27,21-11-2019,no,5779,"['Parachutisme', 'Football']",Leadership,03-03-2019_21:34:29,532.66
John,30,20-06-2004,no,4924,"['Football', 'Jeux']",Leadership,24-06-2016_20:37:51,813.68
David,76,25-10-2018,no,9429,"['Parachutisme', 'Football']",Leadership,04-05-2021_21:54:52,627.48
Karmen,78,04-03-2020,no,7897,"['Football', 'Parachutisme']",Leadership,24-11-2018_21:59:41,657.02
Emilia,56,28-11-2002,yes,4143,"['Football', 'Jeux']",Communication,10-06-2022_01:26:27,817.77
Karmen,23,23-01-2015,no,1089,"['Randonnée', 'Jeux']",Communication,03-08-2018_08:32:20,30.43
John,72,04-04-2017,no,7379,"['Randonnée', 'Jeux']",Leadership,22-04-2021_12:07:09,12.65
Mehdi,71,16-09-2002,no,2593,"['Jeux', 'Randonnée']",Cooking,18-12-2017_09:16:05,925.62
David,94,02-04-2006,yes,1556,"['Football', 'Jeux']",Leadership,27-07-2017_12:33:09,148.56
Mehdi,99,30-08-2016,yes,926,"['Randonnée', 'Parachutisme']",Cooking,17-07-2022_02:43:42,181.87
David,87,11-09-2014,no,1407,"['Parachutisme', 'Jeux']",Communication,13-07-2016_04:08:36,336.09
David,67,01-08-2015,no,2525,"['Parachutisme', 'Randonnée']",Cooking,05-09-2018_00:25:32,137.85
Karmen,72,15-12-2005,no,1627,"['Jeux', 'Parachutisme']",Leadership,31-10-2014_02:35:52,225.24
David,33,27-11-2012,no,6126,"['Parachutisme', 'Randonnée']",Leadership,01-11-2019_16:05:06,592.33
Mehdi,77,19-03-2011,no,8298,"['Parachutisme', 'Football']",Cooking,25-06-2013_12:22:26,352.03
David,73,15-03-2004,yes,2476,"['Jeux', 'Randonnée']",Communication,26-10-2017_13:00:09,588.08
David,54,29-09-2014,yes,9309,"['Parachutisme', 'Randonnée']",Communication,16-11-2020_10:17:16,352.65
Mehdi,23,30-10-2017,yes,4879,"['Randonnée', 'Football']",Cooking,25-06-2019_07:50:32,858.13
David,39,16-05-2002,no,2362,"['Parachutisme', 'Randonnée']",Communication,27-05-2019_03:27:36,101.94
Emilia,97,01-04-2017,yes,1349,"['Parachutisme', 'Randonnée']",Leadership,24-10-2021_20:53:56,583.66
John,51,09-06-2017,no,9315,"['Parachutisme', 'Football']",Leadership,23-03-2020_03:52:56,869.16
Emilia,27,19-09-2017,yes,5600,"['Parachutisme', 'Randonnée']",Cooking,23-08-2020_23:20:00,79.3
David,78,30-01-2010,yes,7510,"['Football', 'Jeux']",Communication,27-10-2021_18:07:32,244.22
David,71,17-12-2013,yes,823,"['Parachutisme', 'Jeux']",Cooking,01-08-2021_11:37:13,408.82
Emilia,53,05-11-2011,no,3869,"['Parachutisme', 'Jeux']",Cooking,18-10-2020_12:54:17,129.05
Mehdi,64,17-10-2012,no,9521,"['Jeux', 'Randonnée']",Cooking,09-09-2014_11:06:53,938.71
Mehdi,36,10-04-2019,no,9641,"['Parachutisme', 'Football']",Communication,26-09-2017_04:28:16,589.62
Emilia,38,14-02-2011,no,2124,"['Parachutisme', 'Football']",Leadership,02-07-2017_11:45:05,601.24
John,72,25-04-2006,yes,2151,"['Parachutisme', 'Randonnée']",Leadership,15-05-2016_12:32:29,1.9
Karmen,63,28-05-2019,no,5733,"['Randonnée', 'Jeux']",Leadership,21-02-2015_23:09:28,131.09
Mehdi,36,30-08-2003,no,4442,"['Randonnée', 'Jeux']",Communication,12-09-2015_15:06:21,842.13
Mehdi,40,15-01-2019,no,5678,"['Parachutisme', 'Football']",Leadership,20-02-2019_11:15:39,287.29
Emilia,82,01-05-2007,no,1832,"['Parachutisme', 'Football']",Communication,11-06-2016_23:10:15,86.01
John,99,13-04-2014,yes,1803,"['Randonnée', 'Football']",Cooking,17-02-2020_14:27:54,459.76
Karmen,82,16-08-2019,yes,5654,"['Parachutisme', 'Football']",Communication,12-06-2014_06:46:32,150.49
Mehdi,80,23-11-2020,no,3924,"['Randonnée', 'Jeux']",Communication,31-05-2018_04:33:40,657.14
Mehdi,37,19-12-2018,no,8102,"['Football', 'Randonnée']",Leadership,16-12-2015_11:05:14,251.8
John,78,28-05-2004,yes,204,"['Parachutisme', 'Jeux']",Leadership,10-03-2016_18:43:24,230.68
David,72,18-01-2009,yes,1867,"['Parachutisme', 'Jeux']",Leadership,07-04-2013_13:50:39,905.01
Karmen,80,01-12-2013,yes,5124,"['Jeux', 'Randonnée']",Cooking,22-07-2013_19:58:50,54.75
John,60,15-03-2004,no,9107,"['Jeux', 'Parachutisme']",Leadership,16-08-2021_04:44:17,20.8
David,20,31-05-2019,yes,2376,"['Jeux', 'Parachutisme']",Cooking,20-10-2014_04:51:48,610.76
John,87,26-12-2017,yes,4323,"['Randonnée', 'Jeux']",Leadership,05-07-2017_06:46:44,930.72
Mehdi,74,07-11-2012,yes,2163,"['Jeux', 'Parachutisme']",Leadership,14-02-2021_07:33:10,635.3
Emilia,98,11-10-2005,yes,7949,"['Football', 'Jeux']",Leadership,14-06-2014_18:33:26,156.52
John,95,11-10-2015,no,6031,"['Football', 'Randonnée']",Leadership,11-01-2019_19:05:00,97.62
Mehdi,22,13-07-2009,yes,8088,"['Jeux', 'Parachutisme']",Communication,31-08-2017_10:51:36,825.99
Emilia,66,04-05-2015,no,2003,"['Parachutisme', 'Football']",Cooking,17-02-2017_04:18:27,291.48
Mehdi,34,20-08-2015,no,2491,"['Jeux', 'Football']",Communication,09-01-2017_14:21:03,46.09
Mehdi,72,22-07-2018,no,8816,"['Jeux', 'Football']",Leadership,15-03-2021_00:31:10,607.91
Karmen,82,07-06-2004,yes,2599,"['Football', 'Jeux']",Cooking,25-04-2017_18:47:42,499.96
David,57,07-02-2003,yes,2113,"['Football', 'Jeux']",Leadership,28-07-2016_18:30:23,809.41
John,49,05-10-2012,yes,6108,"['Parachutisme', 'Jeux']",Communication,24-10-2020_07:15:19,548.15
Karmen,21,22-11-2010,no,4489,"['Jeux', 'Randonnée']",Leadership,19-10-2020_20:46:47,571.64
Mehdi,71,25-01-2009,no,8992,"['Parachutisme', 'Football']",Cooking,08-05-2015_04:59:12,729.5
John,75,27-07-2003,yes,9816,"['Jeux', 'Randonnée']",Communication,06-12-2019_23:43:59,313.45
Karmen,84,22-12-2018,yes,802,"['Jeux', 'Randonnée']",Communication,24-08-2013_21:41:40,775.62
David,80,18-05-2015,yes,5447,"['Football', 'Randonnée']",Leadership,04-05-2016_11:31:10,590.18
David,94,07-05-2020,yes,6540,"['Parachutisme', 'Jeux']",Communication,15-09-2021_05:57:38,847.68
Mehdi,53,09-07-2002,no,383,"['Football', 'Parachutisme']",Leadership,07-03-2019_06:37:32,144.28
Mehdi,99,10-10-2018,no,6359,"['Randonnée', 'Football']",Leadership,11-05-2013_20:02:35,263.1
Emilia,92,22-11-2003,no,5162,"['Parachutisme', 'Jeux']",Cooking,07-02-2018_10:36:36,140.87
Karmen,53,01-01-2014,no,719,"['Randonnée', 'Jeux']",Leadership,28-12-2018_09:59:12,437.74
Emilia,57,03-07-2017,no,2736,"['Randonnée', 'Parachutisme']",Communication,28-03-2014_09:19:41,353.31
David,80,09-09-2012,no,7735,"['Parachutisme', 'Randonnée']",Cooking,23-01-2019_07:02:20,984.63
David,77,26-03-2003,no,7537,"['Football', 'Jeux']",Communication,05-03-2021_18:16:28,804.99
